"","Aitkin County, Minnesota","","","","","","Anoka County, Minnesota","","","","","","Becker County, Minnesota","","","","","","Beltrami County, Minnesota","","","","","","Benton County, Minnesota","","","","","","Big Stone County, Minnesota","","","","","","Blue Earth County, Minnesota","","","","","","Brown County, Minnesota","","","","","","Carlton County, Minnesota","","","","","","Carver County, Minnesota","","","","","","Cass County, Minnesota","","","","","","Chippewa County, Minnesota","","","","","","Chisago County, Minnesota","","","","","","Clay County, Minnesota","","","","","","Clearwater County, Minnesota","","","","","","Cook County, Minnesota","","","","","","Cottonwood County, Minnesota","","","","","","Crow Wing County, Minnesota","","","","","","Dakota County, Minnesota","","","","","","Dodge County, Minnesota","","","","","","Douglas County, Minnesota","","","","","","Faribault County, Minnesota","","","","","","Fillmore County, Minnesota","","","","","","Freeborn County, Minnesota","","","","","","Goodhue County, Minnesota","","","","","","Grant County, Minnesota","","","","","","Hennepin County, Minnesota","","","","","","Houston County, Minnesota","","","","","","Hubbard County, Minnesota","","","","","","Isanti County, Minnesota","","","","","","Itasca County, Minnesota","","","","","","Jackson County, Minnesota","","","","","","Kanabec County, Minnesota","","","","","","Kandiyohi County, Minnesota","","","","","","Kittson County, Minnesota","","","","","","Koochiching County, Minnesota","","","","","","Lac qui Parle County, Minnesota","","","","","","Lake County, Minnesota","","","","","","Lake of the Woods County, Minnesota","","","","","","Le Sueur County, Minnesota","","","","","","Lincoln County, Minnesota","","","","","","Lyon County, Minnesota","","","","","","McLeod County, Minnesota","","","","","","Mahnomen County, Minnesota","","","","","","Marshall County, Minnesota","","","","","","Martin County, Minnesota","","","","","","Meeker County, Minnesota","","","","","","Mille Lacs County, Minnesota","","","","","","Morrison County, Minnesota","","","","","","Mower County, Minnesota","","","","","","Murray County, Minnesota","","","","","","Nicollet County, Minnesota","","","","","","Nobles County, Minnesota","","","","","","Norman County, Minnesota","","","","","","Olmsted County, Minnesota","","","","","","Otter Tail County, Minnesota","","","","","","Pennington County, Minnesota","","","","","","Pine County, Minnesota","","","","","","Pipestone County, Minnesota","","","","","","Polk County, Minnesota","","","","","","Pope County, Minnesota","","","","","","Ramsey County, Minnesota","","","","","","Red Lake County, Minnesota","","","","","","Redwood County, Minnesota","","","","","","Renville County, Minnesota","","","","","","Rice County, Minnesota","","","","","","Rock County, Minnesota","","","","","","Roseau County, Minnesota","","","","","","St. Louis County, Minnesota","","","","","","Scott County, Minnesota","","","","","","Sherburne County, Minnesota","","","","","","Sibley County, Minnesota","","","","","","Stearns County, Minnesota","","","","","","Steele County, Minnesota","","","","","","Stevens County, Minnesota","","","","","","Swift County, Minnesota","","","","","","Todd County, Minnesota","","","","","","Traverse County, Minnesota","","","","","","Wabasha County, Minnesota","","","","","","Wadena County, Minnesota","","","","","","Waseca County, Minnesota","","","","","","Washington County, Minnesota","","","","","","Watonwan County, Minnesota","","","","","","Wilkin County, Minnesota","","","","","","Winona County, Minnesota","","","","","","Wright County, Minnesota","","","","","","Yellow Medicine County, Minnesota","","","","","","Minnesota","","","","",""
"","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)","","Number","","Percent Distribution","","Median income (dollars)",""
